Timestamp,Agent_name,Iterations,Training_time,Total_reward,UP,RIGHT,DOWN,LEFT,WAIT,BOMB,Steps,Moves,Invalid,Score,Bombs,Crates,Suicides
2024-08-21 21:51:19,brute_force_agent,100,7.23,-854.0,3835,745,111,101,86,94,4972,285,4520,0,81,215,80
2024-08-21 21:51:35,brute_force_agent,100,8.06,-866.5,3763,1089,377,134,194,134,5691,704,4703,0,90,232,83
2024-08-21 21:51:48,brute_force_agent,100,6.64,-884.5,2414,803,275,569,692,134,4887,645,3459,2,91,234,88
2024-08-21 21:52:04,brute_force_agent,100,7.81,-852.0,3035,695,712,675,440,124,5681,873,4280,2,88,233,81
2024-08-21 21:52:13,brute_force_agent,100,7.90,-882.0,2527,703,401,1153,783,123,5690,728,4080,0,99,251,87
2024-08-21 21:52:22,brute_force_agent,100,8.25,-855.0,2754,969,643,680,755,124,5925,814,4265,1,91,226,81
2024-08-21 21:52:32,brute_force_agent,100,8.89,-845.0,2098,1008,1156,1100,952,164,6478,1147,4274,1,105,237,80
2024-08-21 21:52:43,brute_force_agent,100,7.56,-877.5,2191,825,797,963,677,144,5597,873,3940,2,107,235,87
2024-08-21 21:52:52,brute_force_agent,100,7.82,-851.0,1964,879,1165,775,746,139,5668,794,4027,1,101,240,82
2024-08-21 21:53:00,brute_force_agent,100,6.47,-889.0,1495,800,864,1007,429,145,4740,720,3488,0,103,249,89
2024-08-21 21:53:08,brute_force_agent,100,6.74,-874.5,1471,697,658,1029,899,147,4901,771,3129,0,102,248,86
2024-08-21 21:53:16,brute_force_agent,100,6.79,-868.0,1459,534,715,989,1021,124,4842,576,3153,1,92,225,84
2024-08-21 21:53:24,brute_force_agent,100,5.44,-895.0,1158,640,370,734,914,154,3970,561,2388,1,107,253,91
2024-08-21 21:53:31,brute_force_agent,100,6.30,-895.5,1157,757,721,681,1193,153,4662,664,2699,2,106,261,91
2024-08-21 21:53:38,brute_force_agent,100,5.68,-908.0,615,642,1596,403,669,161,4086,564,2742,0,111,253,93
2024-08-21 21:53:45,brute_force_agent,100,6.35,-898.0,916,635,1549,601,830,160,4691,644,3107,0,110,265,91
2024-08-21 21:53:52,brute_force_agent,100,6.57,-878.5,1059,613,1063,779,989,187,4690,727,2865,0,109,243,87
2024-08-21 21:54:00,brute_force_agent,100,6.32,-888.0,1042,650,842,768,885,158,4345,565,2795,1,100,267,89
2024-08-21 21:54:26,brute_force_agent,100,6.62,-877.0,1063,641,746,833,1081,155,4519,604,2737,0,97,247,87
2024-08-21 21:54:37,brute_force_agent,100,6.94,-880.0,1258,1094,538,936,981,151,4958,855,3024,5,98,256,88
2024-08-21 21:54:45,brute_force_agent,100,4.82,-909.0,854,818,480,621,567,159,3499,958,1866,0,108,270,94
2024-08-21 21:54:51,brute_force_agent,100,7.74,-860.0,1994,1181,423,710,983,157,5448,726,3637,2,102,255,83
2024-08-21 21:55:20,brute_force_agent,100,7.59,-871.0,1477,825,639,612,1648,167,5368,606,3007,0,107,250,86
2024-08-21 21:55:32,brute_force_agent,1000,75.26,-8807.0,9812,10812,7764,8699,12930,1615,51632,8482,29234,11,986,2405,874
2024-08-21 21:57:01,brute_force_agent,1000,80.54,-8819.5,10856,11754,9539,10011,11120,1631,54911,7514,35283,6,994,2434,874
2024-08-21 21:58:26,brute_force_agent,1000,82.77,-8577.0,11502,11516,11252,8375,13608,1466,57719,8763,34398,11,950,2341,825
2024-08-21 21:59:52,brute_force_agent,1000,86.07,-8629.5,9938,12750,11081,11052,12584,1529,58934,9150,36175,15,1025,2441,839
2024-08-21 22:01:24,brute_force_agent,1000,89.73,-8593.5,13321,10932,9807,9834,15791,1425,61110,7461,36879,10,979,2367,827
2024-08-21 22:03:01,brute_force_agent,1000,87.89,-8614.0,12493,9311,10325,12654,13461,1396,59640,6743,38499,5,937,2233,825
2024-08-21 22:04:52,brute_force_agent,1000,89.11,-8631.5,11399,7099,10774,12818,17800,1509,61399,6180,36443,1,976,2324,832
2024-08-21 22:06:43,brute_force_agent,1000,86.76,-8502.0,12451,9704,10306,9880,14895,1498,58734,8572,34320,4,947,2378,804
2024-08-21 22:08:13,brute_force_agent,1000,94.44,-8507.0,12805,12855,8904,11134,14704,1454,61856,7235,38930,22,987,2307,812
2024-08-21 22:09:51,brute_force_agent,1000,86.04,-8638.0,12937,11633,7894,8196,15534,1420,57614,7790,33342,7,948,2373,835
2024-08-21 22:11:39,brute_force_agent,10000,917.50,-85351.0,116020,113270,106562,119562,138940,14511,608865,83338,376826,108,9761,23921,8148
2024-08-21 22:27:33,brute_force_agent,280000,28501.05,-2383826.0,3175013,3085576,3082890,3269543,4212989,382032,17208043,2473614,10248012,3837,273428,659511,227087
2024-08-22 06:37:26,brute_force_agent,1000,99.39,-8613.0,10895,10064,10273,12785,15155,1272,60444,7943,36397,12,949,2313,829
2024-08-22 06:43:14,brute_force_agent,1000,94.83,-8598.5,11469,11743,9373,9758,14715,1248,58306,8181,34492,3,918,2285,822
2024-08-22 06:45:32,brute_force_agent,10000,1011.99,-85814.0,111393,109930,103063,121964,150530,12908,609788,90357,359331,141,9570,23155,8227
2024-08-22 07:02:38,brute_force_agent,10000,1015.37,-85596.5,113488,110990,107523,118203,151178,13289,614671,90786,362957,118,9750,22945,8191
2024-08-22 08:02:48,brute_force_agent,280000,29357.89,-2394861.0,3123552,3146543,3033018,3193185,4277259,370589,17144146,2583113,10013041,4055,270733,648041,228944
